Variant Name,Species,Similarity,Score,Start,End
ONECUT1,Myotis lucifugus (Microbat),94.87179487179486,1332.0,0,1470
ONECUT1,Tetraodon nigroviridis (Tetraodon),73.96280400572246,1034.0,0,1666
ONECUT1,Ciona savignyi,50.248082995038345,1114.0,0,2501
ONECUT1,Lepisosteus oculatus (Spotted gar),80.97281831187411,1132.0,0,1640
ONECUT1,Latimeria chalumnae (Coelacanth),63.73390557939914,891.0,0,1617
ONECUT1,Poecilia formosa (Amazon molly),77.25321888412017,1080.0,0,1683
ONECUT1,Chlorocebus sabaeus (Vervet-AGM),51.716738197424895,723.0,0,1401
ONECUT1,Loxodonta africana (Elephant),48.42632331902718,677.0,0,1417
ONECUT1,Gasterosteus aculeatus (Stickleback),67.73962804005723,947.0,0,1612
ONECUT1,Otolemur garnettii (Bushbaby),97.21030042918454,1359.0,0,1437
ONECUT1,Mustela putorius furo (Ferret),96.70958512160229,1352.0,0,1444
ONECUT1,Tupaia belangeri (Tree Shrew),52.5035765379113,734.0,0,1408
ONECUT1,Dasypus novemcinctus (Armadillo),95.27896995708154,1332.0,0,1464
ONECUT1,Tursiops truncatus (Dolphin),96.49499284692418,1349.0,0,1447
ONECUT1,Pelodiscus sinensis (Chinese softshell turtle),84.69241773962804,1184.0,0,1585
ONECUT1,Ochotona princeps (Pika),95.50321199143468,1338.0,0,1461
ONECUT1,Echinops telfairi (Lesser hedgehog tenrec),94.56366237482118,1322.0,0,1471
ONECUT1,Erinaceus europaeus (Hedgehog),74.6065808297568,1043.0,0,1567
ONECUT1,Vicugna pacos (Alpaca),95.99427753934192,1342.0,0,1454
ONECUT1,Procavia capensis (Hyrax),92.005710206995,1289.0,0,1510
ONECUT1,Choloepus hoffmanni (Sloth),67.310443490701,941.0,0,1462
ONECUT1,Notamacropus eugenii (Wallaby),87.91130185979972,1229.0,0,1543
ONECUT1,Cavia porcellus (Guinea Pig),91.9170243204578,1285.0,0,1511
ONECUT1,Ictidomys tridecemlineatus (Squirrel),95.70815450643777,1338.0,0,1458
ONECUT1,Chinchilla lanigera (Long-tailed chinchilla),92.20314735336194,1289.0,0,1507
ONECUT1,Microtus ochrogaster (Prairie vole),94.06294706723891,1315.0,0,1481
ONECUT1,Cricetulus griseus (Chinese hamster CriGri),94.84978540772532,1326.0,0,1470
ONECUT1,Nomascus leucogenys (Gibbon),99.14163090128756,1386.0,0,1410
ONECUT1,Cercocebus atys (Sooty mangabey),88.05436337625179,1231.0,0,1409
ONECUT1,Macaca nemestrina (Pig-tailed macaque),98.99856938483548,1384.0,0,1412
ONECUT1,Mus caroli (Ryukyu mouse),93.84835479256081,1312.0,0,1481
ONECUT1,Mus pahari (Shrew mouse),93.70529327610872,1310.0,0,1483
ONECUT1,Capra hircus (Goat (black bengal)),95.70815450643777,1338.0,0,1455
ONECUT1,Mus spretus (Algerian mouse),93.70529327610872,1310.0,0,1483
ONECUT1,Eptatretus burgeri (Hagfish),67.11974110032362,1037.0,0,1906
